Abkürzung,Auflösung,Übersetzung,Anmerkungen,Wortstamm,Deklination,RG1,RG2,RG3,RG4,RG5,RG6,RG7,RG8,RG9,Bemerkungen_1,Bemerkungen_2,volumes
port.,portio,,8,portion -is,konsonantisch,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
possess.,possessio;,,,possession -is,konsonantisch,,possess.,possess.,possess.,possess.,,,,,,,2|3|4|5
possess.,possessor,,,possessor -is,konsonantisch,,,,,,,,,,,,2|3|4|5
precept.,preceptor;,"Präzeptor, Vorsteher;",,preceptor -is,konsonantisch,precept.,precept.,precept.,precept.,precept.,precept.,precept.,precept.,precept.,,,1|2|3|4|5|6|7|8|9|10
precept.,preceptoria,Amt/Stelle eines Präzeptors,,preceptori -(a)e,a,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
preceptor.,preceptor;,"Präzeptor, Vorsteher;",,preceptor -is,konsonantisch,,,preceptor.,,preceptor.,,,,,,,1|2|4|5|7|8|9|10
preceptor.,preceptor;,"Präzeptor, Vorsteher;",siehe precept.,,,,,,,,,,,,,,1|2|4|5|7|8|9|10
preceptor.,preceptoria,Amt/Stelle eines Präzeptors,,,,,,,,,,,,,,,1|2|4|5|7|8|9|10
prepos.,prepositatus;,Amt des Propstes;,,prepositat -us,u,prepos.,prepos.,prepos.,prepos.,prepos.,prepos.,prepos.,prepos.,prepos.,,,1|2|3|4|5|6|7|8|9|10
prepos.,prepositura,Propstei,,prepositur -(a)e,a,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
presbit.,presbiteralis,Priester-,auch presbiterialis; presbyterialis,presb[i/y]ter(i)al -is,i (Adj.),,,,,,,,,,,,3|4|5|6|7|8|9|10
presbit.,presbiteratus;,Priesteramt?,,presbiterat -us,u,,,,presbit.,presbit.,,presbit.,presbit.,presbit.,,,3|4|5|6|7|8|9|10
presbiter.,presbiteralis,Priester-,,,,,,,,,,,,,,,6
presbiter.,presbiteratus;,Priesteramt?,,presbiterat -us,u,,,,presbiter.,,presbiter.,,,,,,6
presbiter.,presbiteratus;,Priesteramt?,siehe presbit.,,,,,,,,,,,,,,6
present.,presens,gegenwärtig; anwesend; vorliegend,,present -is,konsonantisch,,,,,,,,,,unklar ob present. für presens verwendet wurde,,2|3|4|5|6|8|9|10
present.,presentare;,"präsentieren, vorschlagen;","pres. 2,4; presentat. 3","present, presentav, presentat",a-Konj.,,present.,present.,present.,present.,present.,,present.,present.,,,2|3|4|5|6|8|9|10
present.,presentatio,"Präsentation, Vorschlag(-srecht)",,presentation -is,konsonantisch,,,,,,,,,,,,2|3|4|5|6|8|9|10
presentat.,presentare;,"präsentieren, vorschlagen;","pres. 2,4; presentat. 3","present, presentav, presentat",a-Konj.,,,presentat.,,,,,,,,,2|3|4
presentat.,presentatio,"Präsentation, Vorschlag(-srecht)",siehe present.,,,,,,,,,,,,,,2|3|4
priv.,privare,,"1,2,3,7,8","priv, privav, privat",a-Konj.,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
priv.,privatio;,"Aberkennung, (Amts-)Entsetzung",,privation -is,konsonantisch,priv.,priv.,priv.,priv.,priv.,priv.,priv.,priv.,priv.,,,1|2|3|4|5|6|7|8|9|10
proc.,procedere;,,"2,3,4,5,7,8  und in 2 auch für procurator","proced, process, process",konsonantische Konj.,,proc.,proc.,proc.,proc.,proc.,proc.,proc.,,,,2|3|4|5|6|7|8
proc.,processus,,"2,3,4,5,7,8  ",process -us,u,,,,,,,,,,,,2|3|4|5|6|7|8
proc.,procurator,Prokurator,,procurator -is,konsonantisch,,proc.,,,,,,,,"möglicherweise auch in anderen Bänden außer 2 Abk. ""proc."" für ""procurator"" verwendet",,2|3|4|5|6|7|8
prof.,professa,die Gelübte abgelegt habend;,,profess -i,o,,prof.,,prof.,prof.,prof.,prof.,prof.,prof.,,,2|3|4|5|6|7|8|9|10
prof.,professus,die Gelübte abgelegt habend;,,profess -i,o,,prof.,,prof.,prof.,prof.,prof.,prof.,prof.,,,2|3|4|5|6|7|8|9|10
prof.,professor,"öffentlicher Lehrer, Professor",professus 7; in 8 prof.+profes. vertauscht?,professor -is,konsonantisch,,prof.,prof.,prof.,prof.,prof.,prof.,prof.,prof.,"nicht festzustellen, ob in allen Bänden ""prof."" sowohl für ""professor"" als auch für ""professus/a"" steht",,2|3|4|5|6|7|8|9|10
profes.,,Ordensfrau/-mann,,profess -(a)e,a,,,,,,,,,,,,5|8|10
profes.,professa,die Gelübte abgelegt habend;,,profess -i,o,,,,,profes.,,,profes.,,,,5|8|10
profes.,professus,die Gelübte abgelegt habend;,,profess -i,o,,,,,profes.,,,profes.,,,,5|8|10
prom.,promissio,,1,promission -is,konsonantisch,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
prom.,promotio,"Beförderung, Erhebung",,promotion -is,konsonantisch,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
prom.,promovere;,(zu einem Weihegrad) befördern; (zu einem höheren Amt) erheben;,,"promove, promov, promot",e-Konj.,prom.,prom.,prom.,prom.,prom.,prom.,prom.,prom.,prom.,,,2|3|4|5|6|7|8|9|10
prorog.,prorogare;,verlängern;,,"prorog, prorogav, prorogat",a-Konj.,prorog.,prorog.,prorog.,prorog.,prorog.,prorog.,prorog.,prorog.,prorog.,,,2|3|4|5|6|7|8|9|10
prorog.,prorogatio,Verlängerung,,prorogation -is,konsonantisch,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
prov.,providere (alicui de aliqua re);,(jemandem das Anrecht auf ein Amt oder eine Pfründe) verleihen;,,"provide, provid, provis",e-Konj.,prov.,prov.,prov.,prov.,prov.,prov.,prov.,prov.,prov.,,,1|2|3|4|5|6|7|8|9|10
prov.,provincia,,"1,5,8; prov. in 2,4,7 laut Abk-Verz.",provinci -(a)e,a,,prov.,,prov.,,,prov.,,,"und, möglicherweise in allen Bänden, Abk. ""prov."" für ""provincia"" verwendet",,1|2|3|4|5|6|7|8|9|10
prov.,provincia,,"2,4,7 laut Abk-Verz.",provinci -(a)e,a,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
prov.,provisio,Verleihung,,provision -is,konsonantisch,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
publ.,publicare;,,"2,5,7,8; public. 3","public, publicav, publicat",a-Konj.,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
publ.,publicatio,,,publication -is,konsonantisch,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
publ.,publicus,öffentlich,,public -i,o (Adj.),publ.,publ.,publ.,publ.,publ.,publ.,publ.,publ.,publ.,,,1|2|3|4|5|6|7|8|9|10
quitt.,quittantia;,"Quittung, Bestätigung",,quittanti -(a)e,a,quitt.,quitt.,quitt.,quitt.,,quitt.,,,quitt.,,,1|2|3|4|6|9|10
quitt.,quittare;,,"2,3,4","quitt, quittav, quittat",a-Konj.,,,,,,,,,,,,1|2|3|4|6|9|10
quitt.,quittatio,,"1,2,3,4",quittation -is,konsonantisch,,,,,,,,,,,,1|2|3|4|6|9|10
R. I.,Romanorum Imperator,Römischer Kaiser,,,,,,,,R. I.,R. I.,R. I.,R. I.,R. I.,,,6|7|8|9|10
R. I.,Romanum Imperium,,,,,,,,,,,,,,"unklar ob R. I. für Romanum Imperium verwendet wurde",,6|7|8|9|10
recept.,receptio,"Aufnahme, Empfang, Erhalt",,reception -is,konsonantisch,,,,,,,,,,,,3|4|5|6|8|9|10
recept.,receptus;,"empfangen, aufgenommen;",,recept -i,o (Adj.),,,recept.,recept.,recept.,recept.,,recept.,recept.,,,3|4|5|6|8|9|10
recogn.,recognitio;,,1.2,recognition -is,konsonantisch,recogn.,recogn.,recogn.,,,,,,,,,1|2|3
recogn.,recognitus;,,3,recognit -i,o (Adj.),,,,,,,,,,,,1|2|3
recogn.,recognoscere,,1.2,"recognosc, recognov, recognit",,,,,,,,,,,,,1|2|3
ref.,reformare;,"verbessern, reformieren;",,"reform, reformav, reformat",a-Konj.,,,,ref.,ref.,ref.,ref.,ref.,ref.,,,2|3|4|5|6|7|8|9|10
ref.,reformatio,"Abänderung, Nachbesserung (einer päpstlichen Gnade); Reform",,reformation -is,konsonantisch,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
reg.,regula;,(Ordens-)Regel;,,regul -(a)e,a ,reg.,reg.,reg.,reg.,reg.,reg.,reg.,reg.,reg.,,,1|2|3|4|5|6|7|8|9|10
reg.,regularis,Regular-,,regular -is,,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
regul.,regula;,(Ordens-)Regel;,,regul -(a)e,a ,,,regul.,regul.,,regul.,,,,,,4
regul.,regula;,(Ordens-)Regel;,siehe reg.,,,,,,,,,,,,,,4
regul.,regularis,Regular-,,,,,,,,,,,,,,,4
rehab.,rehabilitare,,,"rehabilit, rehabilitav, rehabilitat",a-Konj.,,,,,,,,,,,,5|6|7|8|9|10
rehab.,rehabilitatio;,Wiedereinsetzung in den Stand der habilitas (Fähigkeit zur Ausübung klerikaler Funktionen),,rehabilitation -is,konsonantisch,,,,,,rehab.,rehab.,,rehab.,,,5|6|7|8|9|10
rehabil.,rehabilitare,,,,,,,,,,,,,,,,5
rehabil.,rehabilitatio;,Wiedereinsetzung in den Stand der habilitas (Fähigkeit zur Ausübung klerikaler Funktionen),,rehabilitation -is,konsonantisch,,,,,rehabil.,,,rehabil.,,,,5
rehabil.,rehabilitatio;,Wiedereinsetzung in den Stand der habilitas (Fähigkeit zur Ausübung klerikaler Funktionen),siehe rehab.,,,,,,,,,,,,,,5
reinstit.,reinstituere;,,,"reinstitu, reinstitu, reinstitut",konsonantische Konj.,,,,,reinstit.,,,,,,,5
reinstit.,reinstitutio,,,reinstitution -is,konsonantisch,,,,,,,,,,,,5
rel.,relicta;,Witwe,,relict -(a)e,a,,rel.,,rel.,rel.,rel.,rel.,rel.,rel.,,,4|8|10
rel.,relictus;,,"6,7,8",relict -i,o,,,,,,,,,,,,4|8|10
rel.,religio,,in Bd. 4; siehe relig.,religion -is,konsonantisch,,,,,,,,,,,,4|8|10
rel.,religio;,Orden;,in 4 (auch) rel. laut Abk-Verz,religion -is,konsonantisch,,,,rel.,,,,,,"in Bd. 2 wohl nur ausgeschrieben; ""rel."" in diesem Band eindeutig nur in Bedeutung ""relicta""",,4|8|10
relax.,relaxare;,"entbinden, aufheben;",,"relax, relaxav, relaxat",a-Konj.,,,relax.,,,relax.,relax.,relax.,relax.,,,3|6|7|8|9|10
relax.,relaxatio,"Entbindung, Aufhebung",,relaxation -is,konsonantisch,,,,,,,,,,,,3|6|7|8|9|10
relict.,relicta;,Witwe,,relict -(a)e,a,,,relict.,,,,,,,,,2|3|5|6|7|8|9
relict.,relicta;,Witwe,siehe rel.,,,,,,,,,,,,,,2|3|5|6|7|8|9
relict.,relictus,,,,,,,,,,,,,,,,2|3|5|6|7|8|9
relig.,religio;,Orden;,in 4 (auch) rel. laut Abk-Verz,religion -is,konsonantisch,relig.,,relig.,relig.,relig.,relig.,relig.,relig.,relig.,"in Bd. 2 wohl nur ausgeschrieben; ""rel."" in diesem Band eindeutig nur in Bedeutung ""relicta""",,1|3|4|5|6|7|8|9|10
relig.,religiosus,Ordensmann,,religios -i,i,,,,,,,,,,,,1|3|4|5|6|7|8|9|10
res.,reservare;,"reservieren, vorbehalten;",res. in 1 laut Abk-Verz.,"reserv, reservav, reservat",a-Konj.,res.,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
res.,reservare;,"reservieren, vorbehalten;",siehe reserv.,,,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
res.,reservatio,Reservation,,reservation -is,konsonantisch,res.,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
res.,reservatio,Reservation,,,,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
res.,resignare,Verzicht leisten;,siehe resign.,,,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
res.,resignare;,Verzicht leisten;,"res. 2,4,6; resig. 5","resign, resignav, resignat",a-Konj.,,res.,,res.,,res.,,,,,,1|2|3|4|5|6|7|8|9|10
res.,resignatio,Verzicht,,,,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
reserv.,reservare;,"reservieren, vorbehalten;",res. in 1 laut Abk-Verz.,"reserv, reservav, reservat",a-Konj.,reserv.,reserv.,reserv.,reserv.,reserv.,reserv.,reserv.,reserv.,reserv.,,,1|2|3|4|5|6|7|8|9|10
reserv.,reservatio,Reservation,,reservation -is,konsonantisch,reserv.,reserv.,reserv.,reserv.,reserv.,reserv.,reserv.,reserv.,reserv.,,,1|2|3|4|5|6|7|8|9|10
resid.,residentia,Residenz(pflicht),,residenti -(a)e,a,,,resid.,resid.,resid.,resid.,resid.,resid.,resid.,,,3|4|5|6|7|8|9|10
resid.,residere;,wohnhaft sein;,,"reside, resed, resess",e-Konj.,,,resid.,resid.,resid.,resid.,resid.,resid.,resid.,,,3|4|5|6|7|8|9|10
resig.,resignare,Verzicht leisten;,siehe resign.,,,,,,,,,,,,,,5
resig.,resignare;,Verzicht leisten;,"res. 2,4,6; resig. 5","resign, resignav, resignat",a-Konj.,,,,resig.,resig.,,,,resig.,,,5
resig.,resignatio,Verzicht,,,,,,,,,,,,,,,5
resign.,resignare;,Verzicht leisten;,"res. 2,4,6; resig. 5","resign, resignav, resignat",a-Konj.,resign.,,resign.,,,,resign.,resign.,resign.,,,1|3|4|5|7|8|9|10
resign.,resignatio,Verzicht,,resignation -is,konsonantisch,,,,,,,,,,,,1|3|4|5|7|8|9|10
restit.,restituere;,zurückgeben; aushändigen; wiedereinsetzen (in den alten Stand);,,"restitu, restitu, restitut",konsonantisch,,restit.,restit.,restit.,restit.,restit.,restit.,restit.,restit.,,,2|3|4|5|6|7|8|9|10
restit.,restitutio,"Rückgabe, Aushändigung: Wiedereinsetzung",,restitution -is,konsonantisch,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
reval.,revalidare,,"in Bd. 5,8","revalid, revalidav, revalidat",a-Konj.,,,,,,,,,,,,5|8|9|10
reval.,revalidatio;,Erklärung der Gültigkeit (einer verfallenen Gnade),,revalidation -is,konsonantisch,,,,,,,,reval.,reval.,,,5|8|9|10
revalid.,revalidare,,,,,,,,,,,,,,,,5
revalid.,revalidatio;,Erklärung der Gültigkeit (einer verfallenen Gnade),siehe reval.,,,,,,,,,,,,,,5
revalid.,revalidatio;,Erklärung der Gültigkeit (einer verfallenen Gnade),,revalidation -is,konsonantisch,,,,,revalid.,,,,,,,5
revoc.,revocare;,,,"revoc, revocav, revocat",a-Konj.,,revoc.,revoc.,revoc.,revoc.,,,revoc.,,,,2|3|4|5|8
revoc.,revocatio,,,revocation -is,konsonantisch,,revoc.,revoc.,revoc.,revoc.,,,revoc.,,,,2|3|4|5|8
s.,solutus,ledig,siehe def. nat. (x. s.),solut -i/-(a)e,o/a,,,,,,,,,,,nur bei def. nat.,1|2|3|4|5|6|7|8|9|10
s.,soluta,ledig,siehe def. nat. (x. s.),solut -i/-(a)e,o/a,,,,,,,,,,,nur bei def. nat.,1|2|3|4|5|6|7|8|9|10
s.,sanctus;,heilig;,,sanct -i,o (Adj.),s.,s.,s.,s.,s.,s.,s.,s.,s.,,,1|2|3|4|5|6|7|8|9|10
s.,sine,ohne;,,,,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
s.,sub,unter,,,,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
s.,super,,"4 v.a. in o.s.a., siehe dortigen Eintrag; ansonsten siehe sup.",,,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
s. c.,,,"cf.: def. nat. (s. c.)",,,,,,s. c.,s. c.,s. c.,s. c.,s. c.,s. c.,,"unklar, ob s. c. auch ohne def. nat. als de soluto et coniugata genitus aufgelöst werden kann/soll",1|3|4|5|6|7|8|9|10
s. c.,sine cura,ohne Seelsorge,,,,s. c.,,s. c.,,s. c.,s. c.,s. c.,s. c.,s. c.,,,1|3|4|5|6|7|8|9|10
s. d.,sine dato;,,"in 3,5,6,8 laut Abk-Verz.",,,,,s. d.,s. d.,s. d.,s. d.,s. d.,s. d.,s. d.,,,3|4|5|6|7|8|9|10
s. d.,sine data;,,"in 3,5,6,8 laut Abk-Verz.",,,,,s. d.,s. d.,s. d.,s. d.,s. d.,s. d.,s. d.,,,3|4|5|6|7|8|9|10
s. d.,sub data,,in 5 laut Abk-Verz    ,,,,,s. d.,s. d.,s. d.,s. d.,s. d.,s. d.,s. d.,,,3|4|5|6|7|8|9|10
s. d.,sub die;,am (folgt Datum),,,,,,s. d.,s. d.,s. d.,s. d.,s. d.,s. d.,s. d.,,,3|4|5|6|7|8|9|10
sacerd.,sacerdos;,Priester,,sacerdot -is,konsonantisch,,,sacerd.,sacerd.,sacerd.,sacerd.,,,sacerd.,"möglicherweise in Bd. 2 für ""sacerdot-is,i etc."" auch ""sacerdot."" verwendet",,3|4|5|6|9|10
sacerd.,sacerdotalis,,3; sacerdot. 5,sacerdotal -is,i (Adj.),,,,,,,,,,,,3|4|5|6|9|10
scr.,scriptus,geschrieben ,siehe scipt.,,,,,,,,,,,,,,2
scr.,scriptus;,geschrieben;,scr. 2,script -i,o (Adj.),,scr.,,,,,,,,,,2
script.,scriptor,Schreiber; Reinschreiber (in der päpst lichen Kanzlei und Pönitentiarie),,scriptor -is,konsonantisch,script.,,script.,script.,script.,script.,script.,script.,script.,,,1|2|3|4|5|6|7|8|9|10
script.,scriptus;,geschrieben;,scr. 2,script -i,o (Adj.),script.,,script.,script.,script.,script.,script.,script.,script.,,,1|2|3|4|5|6|7|8|9|10
serv. min.,servitia minuta,kleine Servitien (an Kuriale),,serviti -orum minut -orum,beide o (n.),serv. min.,,min. serv.,serv. min.; min. serv.,min. serv.,serv. min.,minuto serv.,min. servit.,serv. min.; minuti/a serv.; min. servitiorum; minuto servitiis,,,1|4|6|9|10
sine dat.,sine dato;,,"in 3,5,6,8 laut Abk-Verz.",,,,,,,,,,,sine dat.,,,9|10
sine dat.,sine data;,,"in 3,5,6,8 laut Abk-Verz.",,,,,,,,,,,sine dat.,,,9|10
soc.,societas,,,societat -is,konsonantisch,,,,,,,,,,,,3|4|5|6|7|8|9|10
soc.,socius;,"Teilhaber, (Handels-)Gesellschaft",,soci -i,o,,,soc.,soc.,soc.,soc.,soc.,soc.,soc.,,,3|4|5|6|7|8|9|10
sol.,solidus,Schilling (Münze),"sol. in 1,2 nicht für solidus, sondern solutio, solutus",solid -i,o,sol.,sol.,sol.,sol.,sol.,sol.,sol.,sol.,sol.,,,1|2|3|4|5|6|7|8|9|10
sol.,solutio,,"in 1,2",solution -is,konsonantisch,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
sol.,solutio;,Zahlung;,"sol. 1,2",solution -is,konsonantisch,sol.,sol.,,,,,,,,"möglicherweise auch in anderen Bänden außer 1,2 Abk. ""sol."" für ""solutio, solutus"" verwendet",,1|2|3|4|5|6|7|8|9|10
sol.,solutus,,"in 1,2 ",solut -i,o (Adj.),,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
sol.,solvere,bezahlen,laut Abk-Verz. in 2 auch sol. ,"solve, solv, solut",konsonantische Konj.,,sol.,,,,,,,,"möglicherweise auch in 1 oder anderen Bänden Abk. ""sol."" für ""solvere"" verwendet",,1|2|3|4|5|6|7|8|9|10
solut.,solutio;,Zahlung;,"sol. 1,2",solution -is,konsonantisch,,solut.,solut.,solut.,solut.,solut.,solut.,solut.,solut.,"möglicherweise auch in anderen Bänden außer 1,2 Abk. ""sol."" für ""solutio, solutus"" verwendet",,2|3|4|5|6|7|8|9|10
solut.,solutus,bezahlt,,solut -i ,o (Adj.),,,,,,,,,,,,2|3|4|5|6|7|8|9|10
spir.,spiritualia,den geistlichen Bereich Betreffendes,,spiritual -ium,i (Adj.),,,,,,,,,,,,5|10
spir.,spiritualis;,geistlich;,,spiritual -is,i (Adj.),spir.,spir.,spir.,spir.,spir.,spir.,spir.,spir.,spir.,,,5|10
spirit.,spiritualia,den geistlichen Bereich Betreffendes,,,,,,,,,,,,,,,1|2|3|4|5|6|7|8|9
spirit.,spiritualis;,geistlich;,,spiritual -is,i (Adj.),,spirit.,,,,spirit.,,,,,,1|2|3|4|5|6|7|8|9
spirit.,spiritualis;,geistlich;,siehe spir.,,,,,,,,,,,,,,1|2|3|4|5|6|7|8|9
stud.,studere;,studieren;,,"stude, studu, -",e-Konj.,,stud.,,stud.,stud.,stud.,stud.,stud.,stud.,,,2|4|5|6|7|8|9|10
stud.,studium,Studium; Universität,,studi -i,o (n.),,,,,,,,,,,,2|4|5|6|7|8|9|10
subrog.,subrogare,(in die Rechte eines anderen) eingesetzt werden;,siehe surrog.,,,,,,,,,,,,,,2|3
subrog.,subrogatio,(Rechts-)Nachfolge,,,,,,,,,,,,,,,2|3
subrog.,surrogare;,(in die Rechte eines anderen) eingesetzt werden;,,"surrog, surrogav, surrogat",a-Konj.,,subrog.,subrog.,,,,,,,,,2|3
sup.,super;,über,,,,,sup.,,sup.,sup.,sup.,sup.,sup.,sup.,,,2|4|5|6|7|8|9|10
sup.,superior,,in 6 laut Abk-Verz.,superior -is,konsonantisch,,,,,,,,,,,,2|4|5|6|7|8|9|10
suppl.,supplicare,bitten; eine Bittschrift einreichen,siehe supplic.,,,,,,,,,,,,,,1|4|6
suppl.,supplicare;,bitten; eine Bittschrift einreichen;,,"supplic, supplicav, supplicat",a,suppl.,suppl.,,suppl.,,suppl.,,,,,,1|4|6
suppl.,supplicatio,"Bitte, Bittschrift",,,,,,,,,,,,,,,1|4|6
suppl.,supplicatio,"Bitte, Bittschrift",,supplication -is,konsonantisch,suppl.,suppl.,,suppl.,,suppl.,,,,,,1|4|6
supplic.,supplicare;,bitten; eine Bittschrift einreichen;,,"supplic, supplicav, supplicat",a,,supplic.,supplic.,supplic.,supplic.,,supplic.,supplic.,supplic.,,,1|2|3|4|5|6|7|8|9|10
supplic.,supplicatio,"Bitte, Bittschrift",,supplication -is,konsonantisch,,supplic.,supplic.,supplic.,supplic.,,supplic.,supplic.,supplic.,,,1|2|3|4|5|6|7|8|9|10
surr.,surrogare;,(in die Rechte eines anderen) eingesetzt werden;,,"surrog, surrogav, surrogat",a-Konj.,,,,,,surr.,,,,,,6
surrog.,surrogare;,(in die Rechte eines anderen) eingesetzt werden;,,"surrog, surrogav, surrogat",a-Konj.,surrog.,surrog.,surrog.,surrog.,surrog.,,surrog.,surrog.,surrog.,,,1|2|3|4|5|7|8|9|10
surrog.,surrogatio,(Rechts-)Nachfolge,,surrogation -is,konsonantisch,,,,,,,,,,,,1|2|3|4|5|7|8|9|10
t.,?,,"1,2 in t. gr.; siehe t. gr.",,,,,,,,,,,,,,2|5|8|9|10
t.,tempus,,4 in e. t.; siehe e. t.,tempor -is,konsonantisch (n.),t.,t.,,t.,,,,,,,,2|5|8|9|10
t.,tempus;,Zeit,t. in 4 (in e. t.),tempor -is,konsonantisch (n.),,,,t.,,,,,,,,2|5|8|9|10
tab. off.,tabellionatus officium ?,,,,,,,,,tab. off.,,,tab. off.,,,,1|3|5
temp.,temporalia,,in Bd. 1 laut Abk-Verz.,,,,,,,,,,,,,,1|3|4|5|7|8|9|10
temp.,temporalis,,7; in 1 temp. = temporalia laut Abk-Verz.,temporal -is,i (Adj.),temp.,,,,,,,,,"möglicherweise auch in anderen Bänden außer 1 ""temp."" = temporalis/ia",,1|3|4|5|7|8|9|10
temp.,tempus;,Zeit,t. in 4 (in e. t.),tempor -is,konsonantisch (n.),temp.,,temp.,,temp.,,temp.,temp.,temp.,,,1|3|4|5|7|8|9|10
test.,testare;,,,"test, testav, testat",a-Konj.,,test.,test.,test.,test.,test.,test.,test.,test.,,,2|3|4|5|6|7|8|9
test.,testimonialis,,in Bd. 4; siehe testim.,testimonial -is,i (Adj.),,,,,,,,,,,,2|3|4|5|6|7|8|9
test.,testimonialis,,in 4 auch test.,testimonial -is,i (Adj.),,,,test.,,,,,,"möglicherweise auch in anderen Bänden außer 4 ""test."" für ""testimonialis"" verwendet",,2|3|4|5|6|7|8|9
test.,testis;,,,test -is,gemischt,,,,,,,,,,,,2|3|4|5|6|7|8|9
tit.,titularis,Titel-,,titular -is,konsonantisch/gemischt?,,,,,,,,,,,,1|2|3|4|5|6|7|8|9|10
tit.,titulus;,Titel(-kirche eines Kardinals);,,titul -i,o,tit.,tit.,tit.,tit.,tit.,tit.,tit.,tit.,tit.,,,1|2|3|4|5|6|7|8|9|10
trans.,translatio;,Übertragung; Versetzung;,translat.,translation -is,konsonantisch,,,,,trans.,trans.,trans.,trans.,trans.,,,2|4|5|6|7|8|9|10
transgr.,transgredi;,,3,"transgred, transgress",halbkonsonantische Konj.,,,transgr.,,,transgr.,,,,,,3|6
transgr.,transgressus,,3,transgress -i,o (Adj.),,,,,,,,,,,,3|6
transl.,translatio;,Übertragung; Versetzung;,translat.,translation -is,konsonantisch,,transl.,transl.,transl.,,,,,,,,2|3|4|5|6|7|8|9|10
transl.,translatus,übertragen; versetzen,,translat -i,o (Adj.),,,,,,,,,,,,2|3|4|5|6|7|8|9|10
utr.,uterque,,"4; in der Form utriusque in 2,3,5",,,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
utr.,utrius;,"beider, in beiden (Rechten);",,,,,utr.,utr.,utr.,utr.,utr.,utr.,utr.,utr.,,,2|3|4|5|6|7|8|9|10
utr.,utroque,von beiden (Elternteilen her),,,,,,,,,,,,,,,2|3|4|5|6|7|8|9|10
v.,vide,,"1,6; und 6 auch: c.v.s.c.; siehe entsprechenden Eintrag",,,v.,,,,,v.,,,,,,1|2|3|4|5|6|7|8|9|10
v.,virgo,Jungfrau,in 4 auch v.,virgin -is,konsonantisch,,,,v.,,,,,,,,1|2|3|4|5|6|7|8|9|10
v.,virgo;,,4; siehe auch virg.,virgin -is,konsonantisch,,,,v.,,,,,,,,1|2|3|4|5|6|7|8|9|10
val.,(perinde) valere;,(dieselbe) Geltung haben (als ob );,,"vale, valu, -",e-Konj.,,,,,val.,,val.,val.,val.,,,5|6|7|8|9|10
val.,valor,Wert,,valor -is,konsonantisch,,,,,,,,,,,,5|6|7|8|9|10
visit.,visitare;,besuchen; kontrollieren;,,"visit, visitav, visitat",a-Konj.,visit.,visit.,,visit.,visit.,visit.,visit.,visit.,visit.,,,1|2|4|5|6|7|8|9|10
visit.,visitatio,Besuch; Rechenschaftslegung der Bischöfe,,visitation -is,konsonantisch,,,,,,,,,,,,1|2|4|5|6|7|8|9|10
